adopt-imaging-parallel;adopt-imaging-single;adopt-pure;amazoncorretto-imaging-parallel;amazoncorretto-imaging-single;amazoncorretto-pure;graaljdk-imaging-parallel;graaljdk-imaging-single;graaljdk-pure;openjdk-imaging-parallel;openjdk-imaging-single;openjdk-opencv;openjdk-openimaj;openjdk-pure;zulu-imaging-parallel;zulu-imaging-single;zulu-pure;python-pure-simple;python-with-itertools;python-pure-simple-with-numba;python-pure-simple-with-numba-parallel;python-itertools-with-numba;python-with-numpy;python-with-numpy-with-numba;python-with-numpy-with-numba-parallel;python-with-numpy-and-scipy;python-with-opencv
122;270;263;102;262;262;102;233;162;119;268;0.3669;31;264;135;276;280;14733;13190;237;102;3343;8697;83;4.65;34;4.76
119;269;250;116;260;261;122;233;165;119;267;0.4877;30;249;149;276;279;14538;13198;238;197;3343;8712;83;92.26;34;4.57
131;268;241;101;259;239;116;233;247;133;266;0.4039;31;238;148;276;248;15042;13181;239;106;3346;8684;83;4.25;34;4.72
127;267;240;103;260;240;125;234;176;141;266;0.3937;30;243;136;275;247;14555;13184;238;198;3346;8683;83;4.63;34;4.63
113;269;241;115;261;239;116;233;165;119;265;0.3804;30;244;148;277;248;14534;13147;238;195;3348;8622;83;90.75;34;4.68
127;268;238;115;259;240;115;232;163;148;265;0.3824;30;243;148;277;248;14447;13147;238;107;3357;8595;83;3.94;34;4.58
126;268;236;102;260;240;116;233;164;119;265;0.3779;34;244;149;275;248;14478;13188;238;198;3349;8606;83;4.04;34;4.78
114;268;237;115;259;238;114;233;166;135;268;0.3781;30;242;150;274;247;14494;13213;238;196;3351;8639;83;91.22;34;4.65
134;267;236;116;260;238;115;233;164;111;265;0.3916;31;243;134;276;248;14358;13190;238;104;3335;8636;83;4.18;34;4.63
135;269;238;115;264;229;124;233;164;112;266;0.3949;30;243;148;275;249;14621;13137;238;199;3342;8644;83;4.18;34;4.69
133;268;236;115;265;230;116;233;164;125;265;0.392;30;269;134;275;249;14815;13139;237;103;3361;8656;83;91.31;34;4.59
133;268;239;101;267;230;115;234;163;112;266;0.3796;30;240;147;274;250;14838;13136;237;198;3346;8657;83;4.07;34;4.61
134;268;237;105;289;231;104;234;164;112;265;0.3914;31;237;145;276;255;15038;13170;238;189;3349;8664;83;4.05;34;4.56
133;270;239;116;260;229;114;233;166;126;265;0.3789;34;236;146;276;255;14990;13205;239;111;3350;8650;83;4.11;34;4.73
121;269;237;115;259;230;104;232;164;125;265;0.3961;30;235;134;276;256;15222;13169;238;197;3350;8653;83;90.84;34;4.75
123;269;235;101;262;230;103;233;163;112;267;0.3788;31;236;133;284;282;15254;13135;238;200;3340;8647;83;3.93;34;4.68
122;268;236;115;259;229;118;234;163;113;265;0.3914;31;237;169;276;249;14964;13142;239;102;3350;8644;83;3.97;34;4.61
119;271;237;116;260;230;107;232;163;126;266;0.3792;30;238;122;274;249;15011;13119;239;202;3341;8652;83;91.01;34;4.73
141;268;238;102;258;230;119;234;163;111;266;0.38;31;238;134;275;248;14975;13194;238;105;3345;8645;83;4.03;34;4.58
140;268;237;115;260;230;106;234;166;112;265;0.3904;30;236;121;275;249;15043;13212;239;197;3356;8631;83;4.29;34;4.56
